"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"242",0.21,1.6,11515.8164703792,19440.1316565805,0.405566256655001,0.819872948176591
"243",0.21,1.7,14912.9395463948,20665.8366780097,0.516491859806932,0.859248454480583
"244",0.21,1.8,18032.08902,21671.98109,0.616533366265644,0.889228634493122
"245",0.21,1.9,20560.4482566512,22496.6912680865,0.694089673360144,0.913404079443437
"246",0.21,2,22564.6302152504,23175.2641016374,0.753610132833151,0.931031128128748
"247",0.21,-1,33033.0804469972,27414.3502204471,0.995997794644016,0.999416381041121
"248",0.21,0.6,0.857303433081341,6449.29531141779,5.08174929450574e-05,0.443691098956364
"249",0.21,0.7,3.55293435247877,7451.89615727742,0.000185001723658694,0.453425758439069
"250",0.21,0.8,14.9436232979667,8386.05601646657,0.000710096656875669,0.467562875234225
"251",0.21,0.9,61.5114514723187,9343.84755681533,0.0027210866665485,0.488021842698404
"252",0.21,1,221.405883219407,10414.8462274384,0.00925681950091313,0.516223275262901
"253",0.21,1.1,661.817752396043,11670.7812920406,0.0264956079269631,0.555034841712586
"254",0.21,1.2,1627.71263089957,13120.1841244572,0.0630183878075993,0.603801335860971
"255",0.21,1.3,3272.25768096272,14706.7222430285,0.122743868095283,0.6590436328139
"256",0.22,0.5,0.0948852249025841,5246.75110500693,6.85509170508066e-06,0.430875203951757
"257",0.22,1.4,3513.72336195057,15217.7428388573,0.128712236238198,0.665645997792665
"258",0.22,1.5,5669.35494371509,16748.1571662681,0.203133822078741,0.718768739173151
"259",0.22,1.6,8262.04961810806,18234.1669266043,0.290974464948522,0.769012291673378
"260",0.22,1.7,11206.1954887462,19574.074886444,0.388113204062562,0.813854955698993
"261",0.22,1.8,14353.6808,20713.18843,0.49076527584304,0.849888166066484
"262",0.22,1.9,17339.2127557701,21660.1684804708,0.585345629032249,0.879439825871646
"263",0.22,2,19828.7506501915,22446.0911945258,0.662237637792392,0.901737711176444
"264",0.22,-1,32858.6885030448,27430.3590980656,0.990739611355328,1
"265",0.22,0.6,0.392967900311114,6418.49915938751,2.32935536370345e-05,0.441572421197299
"266",0.22,0.7,1.58001958578499,7387.12732733689,8.22718119125355e-05,0.449484767418909
"267",0.22,0.8,6.36109984743085,8266.28376584558,0.000302269111422768,0.460884997366052
"268",0.22,0.9,25.8266961479905,9133.35967316201,0.00114249748375589,0.477028225323808
"269",0.22,1,97.4906249464493,10060.7859252446,0.0040760123671429,0.498673888085438
"270",0.22,1.1,312.718400270945,11118.4776133886,0.0125195555651517,0.528768580938172
"271",0.22,1.2,839.670727140248,12348.2309661191,0.0325086225351518,0.568275435934172
